Date,SPX_Open,SPX_High,SPX_Low,SPX_Close,SPX_Volume,NDX_Open,NDX_High,NDX_Low,NDX_Close,NDX_Volume,10Y_Yield,3M_Yield,RSI,VIX,CNN,Put_Call,DXY,BTC_Chg,HYG_Price,Risk_Ratio,IWM_Price,SOXX_Price,NAAIM,SKEW,AAII_Diff,Above_200MA
2026-04-06,6587.66,6618.13,6579.72,6611.83,2316755000,24143.02,24265.14,24039.03,24192.17,895728542,4.33,3.62,47.8,24.17,23,,100.04,-0.57,79.70,1.32,252.36,344.10,68.36,147.60,-17.8,48.31
2026-04-07,6601.93,6618.26,6534.55,6616.85,2731118000,24109.57,24209.28,23779.85,24202.37,1038721000,4.34,3.62,48.2,25.78,22,0.96,98.98,4.14,79.72,1.33,252.91,347.76,68.36,148.45,-17.8,48.11
2026-04-08,6754.36,6793.50,6740.28,6782.81,3502192000,25045.36,25045.36,24756.93,24903.17,1360629000,4.29,3.60,58.6,21.04,31,0.96,99.10,-1.55,80.19,1.34,260.47,370.40,68.36,150.36,-17.8,54.98
2026-04-09,6783.69,6835.31,6761.55,6824.66,2977422000,24918.28,25097.45,24788.92,25082.09,1226344000,4.29,3.59,60.9,19.49,36,0.89,98.92,1.27,80.28,1.35,261.96,378.63,69.38,143.27,-7.3,55.37
2026-04-10,6839.24,6845.77,6808.46,6816.89,2781393000,25165.06,25226.06,25057.65,25116.34,1186150000,4.32,3.59,60.3,19.23,38,0.89,98.70,1.52,79.96,1.37,261.30,386.60,69.38,144.18,-7.3,53.18
2026-04-13,6806.47,6887.00,6790.02,6886.24,2885789000,25069.07,25387.69,24999.20,25383.72,1103216000,4.30,3.60,64.3,19.12,41,0.87,98.35,4.97,80.26,1.40,265.07,393.34,69.38,156.93,-7.3,55.37
2026-04-14,6910.20,6969.42,6905.17,6967.38,3024825000,25514.55,25842.00,25514.55,25842.00,1218256000,4.26,3.61,67.9,18.36,47,0.87,98.11,0.33,80.50,1.43,268.72,401.24,69.38,149.94,-7.3,56.66
2026-04-15,6978.17,7026.24,6967.13,7022.95,3062289000,25859.19,26214.57,25828.76,26204.58,1222244000,4.28,3.61,70.2,18.17,56,0.68,97.99,0.67,80.46,1.46,269.39,401.86,69.38,139.23,-7.3,54.87
2026-04-16,7037.78,7051.23,7008.52,7041.28,2986124000,26256.88,26400.52,26113.65,26333.00,1164293000,4.31,3.61,70.9,17.94,62,0.67,98.26,0.00,80.35,1.44,269.95,405.95,79.49,140.74,-11.1,53.28
2026-04-17,7074.55,7147.52,7074.55,7126.06,3621555000,26551.16,26719.56,26481.24,26672.43,1461005000,4.25,3.60,74.0,17.48,68,0.67,98.23,2.89,80.65,1.46,275.78,415.71,79.49,141.82,-11.1,60.03
2026-04-20,7117.05,7122.65,7084.41,7109.14,2630327000,26662.32,26670.12,26412.52,26590.34,1066237000,4.25,3.60,72.7,18.87,70,0.66,98.09,3.02,80.58,1.45,277.35,417.55,79.49,141.90,-11.1,59.04
